FARM,DATA,TYPE,YearClass,Gen,a_Sep-2024,b_Oct-2024,c_Nov-2024,d_Dec-2024,e_Jan-2025,f_Feb-2025
Anglet_P,inputs,biomass,2024,24 5SG,994.1120000000001,1002.4140000000001,0.0,0.0,0.0,0.0
Anglet_P,inputs,biomass,2024,24 6SG,0.0,0.0,0.0,1002.4140000000001,0.0,0.0
Anglet_P,inputs,biomass,2025,25 1SG,0.0,0.0,0.0,0.0,989.8000000000002,989.8000000000002
Anglet_P,inputs,biomass,TOTAL,TOTAL,994.1120000000001,1002.4140000000001,0.0,1002.4140000000001,989.8000000000002,989.8000000000002
Anglet_P,inputs,number,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2023,23 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2023,23 5SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2023,23 6SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2024,24 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2024,24 2SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2024,24 3SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2024,24 4SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2024,24 5SG,71008.0,71601.0,0.0,0.0,0.0,0.0
Anglet_P,inputs,number,2024,24 6SG,0.0,0.0,0.0,71601.0,0.0,0.0
Anglet_P,inputs,number,2025,25 1SG,0.0,0.0,0.0,0.0,70700.0,70700.0
Anglet_P,inputs,number,TOTAL,TOTAL,71008.0,71601.0,0.0,71601.0,70700.0,70700.0
Anglet_P,losses,avweight,2023,23 1SG,0.0,0.0,0.0,0.0,0.0,0.0
Anglet_P,losses,avweight,2023,23 3SG,0.0,0.0,0.0,0.0,0.0,0.0
