Fecha,Granja,Tanque,Gen,Lote,PesoMedio,Num,Biomasa,Edad,EdadMeses,Talla_100,Talla_500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,4651.162791,10000,Optima,NA,au.2000 - 2100,h.2000 - 2500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,4444.444444,10000,Optima,NA,av.2100 - 2200,h.2000 - 2500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,3829.787234,9000,Optima,NA,aw.2200 - 2300,h.2000 - 2500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,2857.142857,7000,Optima,NA,ax.2300 - 2400,h.2000 - 2500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,1960.784314,5000,Optima,NA,ay.2400 - 2500,h.2000 - 2500
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,1886.792453,5000,Optima,NA,az.2500 - 2600,i.2500 - 3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,1454.545455,4000,Optima,NA,ba.2600 - 2700,i.2500 - 3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,1052.631579,3000,Optima,NA,bb.2700 - 2800,i.2500 - 3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,847.4576271,2500,Optima,NA,bc.2800 - 2900,i.2500 - 3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,793.6507937,2500,Optima,NA,bd.2900 - 3000,i.2500 - 3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,923.0769231,3000,Optima,NA,be.3000 - 3100,j.3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,895.5223881,3000,Optima,NA,bf.3100 - 3200,j.3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,579.7101449,2000,Optima,NA,bg.3200 - 3300,j.3000
11 - optima,Quilmas_P,Optima,Optima,Optima,NA,563.3802817,2000,Optima,NA,bh.3300 - 3400,j.3000
05 - optima,Couso_P,Optima,Optima,Optima,NA,80000,4000,Optima,NA,aa.0 - 100,a.0 - 300
05 - optima,Couso_P,Optima,Optima,Optima,NA,40000,6000,Optima,NA,ab.100 - 200,a.0 - 300
