Granja,Edad,PesoMedio,Type
Cervo_P,793,2646.705882,Historical
Cervo_P,912,2986,Historical
Cervo_P,524,1263.2,Historical
Cervo_P,650,1812.184874,Historical
Cervo_P,615,1610,Historical
Oye_P,468,557,Historical
Oye_P,585,821.0614525,Historical
Oye_P,643,1003,Historical
Oye_P,615,1044.685788,Historical
Oye_P,643,1352,Historical
Oye_P,867,2191.855805,Historical
Oye_P,825,2278,Historical
Oye_P,853,2242.634515,Historical
Cervo_P,496,1123.541667,Historical
Cervo_P,615,1848,Historical
Cervo_P,370,393.7,Historical
Cervo_P,489,979.875,Historical
Cervo_P,524,1123,Historical
Tocha_P,299,312.3636364,Historical
Tocha_P,390,466,Historical
Tocha_P,362,500,Historical
Tocha_P,362,386.1,Historical
Cervo_P,496,1273.3,Historical
Cervo_P,342,450.8,Historical
Cervo_P,496,1146.363636,Historical
Cervo_P,615,1568.403361,Historical
Cervo_P,524,1283.866667,Historical
Cervo_P,559,1439,Historical
Cervo_P,635,2291.25,Historical
Cervo_P,398,523.2,Historical
Cervo_P,433,713.7,Historical
Cervo_P,398,506.48,Historical
Cervo_P,545,1481.848739,Historical
Tocha_P,264,232.2,Historical
Tocha_P,299,343.8545455,Historical
Tocha_P,264,251.0981818,Historical
Tocha_P,299,338.9090909,Historical
Tocha_P,418,426.552,Historical
Tocha_P,125,20.896,Historical
Tocha_P,153,40.24727273,Historical
Tocha_P,153,41.24363636,Historical
Tocha_P,153,36.46461538,Historical
Tocha_P,216,81.6,Historical
Tocha_P,216,79.73333333,Historical
Tocha_P,216,75.2,Historical
Tocha_P,216,68.08888889,Historical
Oye_P,958,2045,Historical
Oye_P,797,2681,Historical
Oye_P,762,2192.9783,Historical
Cervo_P,641,1867.394958,Historical
Cervo_P,676,2125.529412,Historical
Cervo_P,496,1217.373737,Historical
Cervo_P,370,513.4,Historical
Cervo_P,587,1560.588235,Historical
Cervo_P,524,1203.666667,Historical
Cervo_P,559,1397.8,Historical
Cervo_P,678,1890.840336,Historical
Cervo_P,524,1252.833333,Historical
Cervo_P,524,1208.916667,Historical
Cervo_P,650,1760.504202,Historical
Cervo_P,398,511,Historical
Cervo_P,370,391.35,Historical
Cervo_P,398,470.7,Historical
Oye_P,671,1268,Historical
Oye_P,706,1413,Historical
Oye_P,734,1648,Historical
Oye_P,585,1626,Historical
Oye_P,643,1126,Historical
Oye_P,615,1171.094771,Historical
Oye_P,552,1070,Historical
Tocha_P,264,191.8,Historical
Cervo_P,524,1495.15625,Historical
Cervo_P,461,1093.230769,Historical
Cervo_P,314,192.4,Historical
Cervo_P,440,755,Historical
Cervo_P,412,692.5,Historical
Cervo_P,531,1431.571429,Historical
Cervo_P,559,1649.857143,Historical
Cervo_P,412,670,Historical
Cervo_P,531,1414.857143,Historical
Cervo_P,468,1055.2,Historical
Cervo_P,411,835.9340659,Historical
Cervo_P,383,576.8,Historical
Cervo_P,411,355.0833333,Historical
Cervo_P,411,670.7777778,Historical
Oye_P,538,745,Historical
Oye_P,600,1037,Historical
Cervo_P,286,168.3888889,Historical
Cervo_P,440,717.5238095,Historical
Cervo_P,440,826.6666667,Historical
Cervo_P,286,183.1333333,Historical
Cervo_P,405,555.3333333,Historical
Cervo_P,440,735.0666667,Historical
Cervo_P,286,162.9333333,Historical
Cervo_P,405,529.5333333,Historical
Cervo_P,440,749.0666667,Historical
Cervo_P,223,82,Historical
Cervo_P,377,442.8571429,Historical
Cervo_P,195,53.93333333,Historical
Cervo_P,468,960.6666667,Historical
Cervo_P,314,215.8,Historical
Cervo_P,349,320.7428571,Historical
Cervo_P,531,1370.428571,Historical
Cervo_P,594,1310,Historical
Cervo_P,559,1634,Historical
Cervo_P,594,1752.959184,Historical
Cervo_P,537,1467,Historical
Cervo_P,503,1230.5,Historical
Cervo_P,524,1497.5,Historical
Cervo_P,412,481.36,Historical
Cervo_P,531,1006,Historical
Cervo_P,377,332.48,Historical
Cervo_P,531,996.5555556,Historical
Cervo_P,468,718.1666667,Historical
Cervo_P,503,925.8666667,Historical
Cervo_P,348,297.8,Historical
Cervo_P,411,825.4166667,Historical
Cervo_P,468,1068.8,Historical
Cervo_P,503,1238,Historical
Cervo_P,559,1643.061224,Historical
Cervo_P,615,1251,Historical
Tocha_P,110,16.4,Historical
Tocha_P,264,142.3,Historical
Tocha_P,236,112.5333333,Historical
Tocha_P,173,57.77777778,Historical
Tocha_P,173,55.91111111,Historical
Tocha_P,201,97.7,Historical
Tocha_P,236,120.48,Historical
Tocha_P,264,235.8545455,Historical
Tocha_P,264,99.1,Historical
Cervo_P,349,306.2,Historical
Cervo_P,468,827.1428571,Historical
Cervo_P,195,60,Historical
Cervo_P,314,223.2,Historical
Cervo_P,349,329.8,Historical
Oye_P,566,855,Historical
Oye_P,566,1318,Historical
Oye_P,306,319,Historical
Tocha_P,391,349.6,Historical
Cervo_P,503,919.1428571,Historical
Cervo_P,468,693.3333333,Historical
Cervo_P,503,930.952381,Historical
Oye_P,412,508.6923077,Historical
Oye_P,447,872,Historical
Oye_P,475,631,Historical
Oye_P,600,1390,Historical
Tocha_P,110,20.14545455,Historical
